Wavelength,Intensity,Absorbance,Reflectance
1331.7196613645901,17419,1.1633606,0.06864982
1332.8626241207926,15966,1.2013965,0.06289318
1335.147099663075,14449,1.2445785,0.056940526
1336.2886124491547,16685,1.1819994,0.06576587
1337.4296419118605,19111,1.1228607,0.075359724
1338.5701880511917,16103,1.1970557,0.06352494
1339.710250867149,15907,1.2021927,0.06277799
1340.8498303597319,16669,1.181897,0.06578137
1343.1275393747749,16631,1.182938,0.0656239
1344.2656688972352,15617,1.2101936,0.061632022
1345.403315096321,17394,1.1633917,0.0686449
1346.540477972033,16758,1.1795707,0.066134684
1347.6771575243702,15022,1.2267703,0.059323907
1348.8133537533336,14723,1.2352083,0.058182407
1349.9490666589224,12605,1.3023682,0.049846172
1352.2190424999778,14331,1.245553,0.056812912
1353.353305435444,16426,1.1857584,0.0651991
1354.4870850475363,13449,1.272383,0.053409316
1355.620381336254,15708,1.2047365,0.06241135
1356.7531943015977,15138,1.2205714,0.060176738
1357.885523943567,14018,1.2537397,0.055751983
1360.1487332573831,15915,1.1981888,0.063359424
1361.2796129292296,17750,1.1502746,0.07074983
1362.410009277702,16088,1.1923906,0.064210996
1363.5399223028003,12637,1.2966676,0.050504766
1364.6693520045242,15117,1.2182033,0.060505755
1365.798298382874,14438,1.23752,0.057873536
1368.0547411694508,13761,1.257251,0.05530304
1369.1822375776778,12807,1.2879716,0.051526234
1370.3092506625305,13821,1.254397,0.05566766
1371.4357804240092,12310,1.3041971,0.049636696
1372.5618268621133,12928,1.2823508,0.052197438
1373.6873899768434,13184,1.273263,0.053301208
1374.8124697681992,12355,1.3008946,0.050015587
1377.0611793807884,13422,1.2633402,0.054533046
1378.1848092020214,12579,1.2905946,0.051215965
1379.3079556998803,10991,1.3483788,0.044835422
1380.4306188743649,9486,1.4115082,0.03876964
1381.5527987254754,13208,1.26693,0.054084156
1382.6744952532115,12051,1.3057611,0.04945826
1384.9164383385614,9589,1.4030477,0.039532322
1386.0366848961748,10657,1.3561606,0.044039194
1387.156448130414,9039,1.426651,0.03744113
1388.2757280412789,9801,1.3904762,0.040693376
1389.39452462877,10566,1.3567582,0.04397864
1390.5128378928864,8136,1.4691792,0.03394852
1392.7480144509968,7593,1.4970767,0.031836346
1393.8648777449905,8673,1.4385828,0.036426485
1394.9812577156101,9832,1.3833727,0.041364454
1396.0971543628555,7095,1.5243545,0.029898232
1397.2125676867267,7267,1.513241,0.03067319
1398.3274976872235,8008,1.470364,0.033856027
1399.4419443643462,8752,1.4308857,0.037077833
1401.6693877484688,7859,1.4758337,0.03343231
1402.7823844554687,4817,1.687468,0.020536762
1403.8948978390945,6888,1.5311933,0.029431118
1405.006927899346,9502,1.3905128,0.040689956
1406.1184746362233,8215,1.452944,0.03524163
1407.2295380497262,6410,1.5599178,0.0275475
1409.4502149066095,7336,1.4997458,0.031641282
1410.5598283499899,8491,1.4354627,0.03668912
1411.668958469996,8053,1.4576806,0.03485936
1412.7776052666277,5437,1.6275697,0.023573842
1413.8857687398854,6892,1.5238732,0.029931381
1414.9934488897686,8622,1.4258988,0.037506036
1416.1006457162778,8596,1.4264995,0.037454195
1418.3135893991735,9498,1.3812369,0.041568376
1419.4193362555598,8366,1.4353846,0.03669572
1420.524599788572,6149,1.5685071,0.027008034
1421.62937999821,5540,1.6132101,0.024366321
1422.7336768844737,4388,1.7138625,0.019325798
